/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/A10_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/A11_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/A12_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/A1_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/A2_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/A3_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/A4_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/A5_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/A6_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/A7_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/A8_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/A9_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/B10_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/B11_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/B12_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/B1_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/B2_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/B3_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/B4_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/B5_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/B6_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/B7_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/B8_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/B9_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/C10_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/C11_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/C12_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/C1_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/C2_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/C3_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/C4_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/C5_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/C6_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/C7_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/C8_03_1_Bright Field_1_,/Volumes/T7 Shield/Brightfield_paper/Kleb_fig2C/10x/C9_03_1_Bright Field_1_
0.0001365295953516121,0.00010671114640687053,0.0001375414546648893,0.00023990706694186148,0.00013395267718838193,0.0002264777389229324,0.00013555499574401854,4.295224595502892e-5,3.0325390889698775e-5,3.112020269999942e-5,1.4703750885624546e-5,0.00013045523699055706,8.420097601961406e-5,0.0001513129858134436,2.4628391072089305e-5,0.00014080148324390748,0.00014076810918600645,0.00038770757516098963,4.521912006271858e-5,8.637559525553131e-5,1.0280461122660253e-5,5.677259818957156e-5,2.8757322537976866e-5,4.713511129796357e-5,5.08176646079088e-5,5.3713945059975886e-5,0.0004292918274020221,0.000168624647744052,0.00015721499744471943,0.0002460031175480592,3.626635320893631e-5,0.0001729273316645838,0.0009705718378887089,0.0001995296565554773,0.0005736637899426402,0.00024772572727767354
9.955610235896251e-5,0.00018630487229685406,0.00021174810274536993,0.0002144503743851489,0.00012259741352085857,0.00023904529409160503,0.00010785999682202077,4.037813915839588e-5,3.955174072265848e-5,8.192713168262537e-5,3.6128131823581006e-5,0.00010541596152880001,8.104821658005814e-5,0.00021277923798983538,8.618175959893137e-5,0.00015197996385645152,0.00010853340492582947,0.0003285017606495527,2.455793620322445e-5,6.472167823141826e-5,1.1072313162731758e-5,7.783188816787874e-5,3.5514545314480114e-5,5.801214035797633e-5,0.00013070339650234634,0.00011306745470141025,0.00047499663676396143,0.00015238987771914404,0.0001238661581583765,0.00019421950360139456,3.5067817112110275e-5,0.00018241106451779022,0.001009169601740382,0.00024904175437157777,0.0005709568746979764,0.0002608795742242569
0.00016925122787345755,0.00032115749746372644,0.000298501170945889,0.0002025540089198534,0.00011865293150797423,0.0002418178975154889,0.00012334754838835697,5.6915690745764406e-5,5.32233229398359e-5,0.0001035879702546928,8.14241219627226e-5,0.00021034513569421595,0.00012600681901547687,0.0003818241232452473,0.0001374761573994857,0.00015108490511429127,0.00010504936860098481,0.00031686652504544957,2.8962316008066033e-5,6.456703953123649e-5,1.936834349426363e-5,0.000105468266796409,7.974925937878798e-5,0.00010260608003375913,0.00013673419717872944,0.00014802185091114387,0.00046066697820184725,0.00013460223690427582,0.00011894106155121918,0.00018841087731421863,3.350203153377393e-5,0.00018046535984333068,0.0010737228400866203,0.0003015915946210361,0.0006008688223723542,0.0003142225856657999
0.0003131350688877287,0.0005515054407565057,0.00045271904964742064,0.00020389227551119503,0.00011900267317018203,0.0002171921485181968,0.00013125919601721114,6.600570293075843e-5,4.632672902661978e-5,0.0004398130409670122,0.00020834870054035727,0.000257852333213861,0.00029848914120104725,0.0006637868164289294,0.0002542079352922837,0.0001578214701408029,0.00011829120727300864,0.00035038224647285953,2.633588941647058e-5,8.314881092000387e-5,2.3200251640605622e-5,0.0003220807033139417,0.0001861974155322553,0.00017685089452535308,0.00038988207290592753,0.00033525539920022996,0.0004846885052757817,0.0001553074007237658,0.00012069313666664178,0.00019068707960171718,3.41977848189366e-5,0.00019710644392582091,0.0010746905991670282,0.0004496458551131727,0.0006867455407383112,0.0003897665002911791
0.0006483718334022794,0.00127343727846435,0.0008287328740716727,0.0002044620904311768,0.00012285030893106818,0.00023315774075642246,0.0001342543577410874,5.047677363707697e-5,6.8662060839738e-5,0.000508154442204607,0.0002643427880612616,0.0006336644819077554,0.0005673726279771046,0.001088681637969716,0.00046962543482538776,0.00015270801276304514,0.00011087189846504621,0.0003954301422433423,2.859867344606341e-5,6.87742762751047e-5,6.173733478803967e-5,0.0005519865594375939,0.00033127607916437046,0.00041335406860294727,0.0006929960039111175,0.0005351141543108945,0.0007448891575889529,0.00015613438074987788,0.00012550176610604658,0.0001908930466926223,5.151864621185512e-5,0.00020134030275352488,0.0010888550561784442,0.0007338061710183822,0.0009140909682166516,0.0006305778178192508
0.0012840667977893562,0.0016680183500231347,0.0013898044901141256,0.00019648030384319246,0.00012467561112474216,0.00021801003917881333,0.00014159770063726986,5.96922559148906e-5,4.653954586689793e-5,0.0013008079132515063,0.0009034738387443926,0.0010376038302623443,0.0009089132265635646,0.0018196186196667553,0.0009451851023686706,0.0001447066100720277,0.00011623976625811398,0.00048624381455969424,3.0055692353939984e-5,7.43760419959935e-5,1.3022787522003066e-5,0.0009733710388159522,0.0006041101850478234,0.0007631326787773113,0.0012496964488266072,0.001124653276659314,0.001183379108869156,0.000153309613845369,0.00013190443901677678,0.00021731112872017992,5.806699942304456e-5,0.0002504334096657188,0.0011755447117201114,0.001302635746332894,0.0012796149141981255,0.0008580431117935582
0.002329120404270284,0.0032346344497636193,0.002570328736838947,0.00018534717895817173,0.0001222743448647865,0.00025460793833454294,0.0001486705486392105,9.582819219247521e-5,5.386481065336726e-5,0.0020429108268350494,0.0021446613949284822,0.0015879877811482608,0.0017823116914914235,0.0033917509949920317,0.0019660705480420027,0.00013658926499154065,0.00012169015260995581,0.0005919400300924739,2.2199776322571002e-5,0.00011915408329781913,1.9407954693421322e-5,0.0012073137370341934,0.0012748034988310977,0.0011976956546002396,0.0022981838819993,0.0022238717839460254,0.0022386047166495153,0.00017024583987013245,0.00015678907803535452,0.0002492188146244667,5.0742133033597244e-5,0.00023155633544362834,0.0012265065704907972,0.002214848170419894,0.0017935551543461668,0.0017985193118648867
0.0037266303749441836,0.005404887725144101,0.00397050016389019,0.0001943614855790672,0.0001260200872005702,0.0002549618827191537,0.00014595805074109642,6.529004767126878e-5,8.273184633955878e-5,0.0037453931751659985,0.0028826106304628554,0.002803965784327497,0.0032364377372510397,0.0053535300167916085,0.003392135663624714,0.00012639327345479728,0.00012178227410245477,0.0008976585237852365,2.8771337331002842e-5,0.00011795365309915543,2.116664364789422e-5,0.0026624157043497925,0.0020370785354353296,0.0023907517585344193,0.003907957318868235,0.0037302788597789872,0.0034360218527480363,0.0002058771162283339,0.0001724609868106616,0.00023246845909627152,5.9633947212016325e-5,0.00025527422923377443,0.0012551972711384559,0.004364241432340199,0.0031495417671561794,0.0029773433478363725
0.00717043766923015,0.00838179545236939,0.006714033705134594,0.00018002691080816046,0.00010947798758915893,0.0002274083669807539,0.00014416678926773,5.9425805168547966e-5,5.44747526842035e-5,0.005053949446192746,0.005291627017195983,0.003608525529650398,0.004621775952624633,0.008645120857958063,0.0058109435004263296,0.00011473277742925259,0.00011302276578185827,0.0011520802116336327,3.3429712747174514e-5,0.00011831697951439722,1.3107518770664765e-5,0.004373280554934969,0.0034585188619777807,0.0032585468179929327,0.005595631912123549,0.006044342680335395,0.005800680146009077,0.00015079185058172558,0.00013470095360066823,0.0002297046976030212,4.668367280162138e-5,0.0002616011988613586,0.0012144507678746848,0.005360374402413163,0.004739402271004925,0.004477302345148568
0.009944379966856013,0.011223206752741174,0.009984768378155286,0.00016880004250048567,0.00010399163822412276,0.00021846105680263105,0.00015697526189433788,6.82117256328632e-5,4.690631884151174e-5,0.0066542155017995895,0.006437363864001698,0.004972330231983214,0.00824422220615721,0.013828832754983438,0.008286922991376813,0.00011063225035711131,0.00011388854813180579,0.001761687387196931,2.515534400149019e-5,0.00013568996047692332,1.863474503584611e-5,0.005443680312189266,0.0051027698461655726,0.005738134637635452,0.009143657055025019,0.00957141691173039,0.009649088237785833,0.00013724898160860562,0.00012510926378841959,0.00022234866882893153,5.550997208947226e-5,0.00025759739559854517,0.0012446622639146752,0.006978178997186599,0.006888228093708225,0.006072656513813411
0.013467425783417381,0.015621101174458446,0.014779414807048434,0.00015392785381306587,9.927327851564919e-5,0.00019761871889920887,0.0001413509907780518,6.573911799397543e-5,0.00014379024900853312,0.00896269729067221,0.010890718784694567,0.009601239201045341,0.012338590267390771,0.0183088596564688,0.013177171352213517,0.00010914739787587427,0.00011764987289842048,0.0026086779437260463,3.269585677659043e-5,0.0001718440184885667,7.965345130870501e-5,0.009686838680150888,0.009353385478604231,0.007801821773174637,0.014348778602428147,0.01345867999739059,0.014784253882601808,0.000152787284528293,0.00012424859324885288,0.00020870973082718765,5.791143101037744e-5,0.0002882392369076335,0.0013458662739601007,0.01080080704566948,0.007899026318286487,0.008325588933551332
0.016512331100199545,0.021052023652552276,0.016751368057668827,0.00014315194208382222,0.00010226008672317276,0.0001943645721619136,0.00016586548022685978,6.508452160921095e-5,6.069229758410229e-5,0.010090716266088198,0.010604751126800937,0.008811786142277487,0.01595539342780267,0.02304545140453163,0.015596284812572529,0.00010599971306409357,0.00013273504182105571,0.004097762178775393,2.277333212949593e-5,0.00020160649219338274,1.4555910192538481e-5,0.008675222037998167,0.007948907212633652,0.009361581362234486,0.015856769343639124,0.01687278105603975,0.014869014363212984,0.00014707528092023484,0.00013837235161220387,0.00022001282410248523,6.940466700188091e-5,0.000334052749878598,0.0013173664001499149,0.010110369452971422,0.009729019022972097,0.010495731935522584
0.018604084170646223,0.02429862674095782,0.021011266363270904,0.00015277108053484434,8.897323325157187e-5,0.00019049847080888026,0.00015845796774195895,7.20496246573442e-5,7.831279300343915e-5,0.01037173501588915,0.01169149116674242,0.01184470278398753,0.015807452027359937,0.028381871791648344,0.017950753662548016,0.00011798057563945661,0.00012213543368890493,0.0068187724882143004,3.385610878226903e-5,0.00023629296218093265,2.6959494969223367e-5,0.011920977375922267,0.009093443511670915,0.009815139166276486,0.022635723332529473,0.019759992183617788,0.01681693248599575,0.00015297099530502,0.00014876857607626495,0.0002246269291889147,9.552191400774523e-5,0.00048439643136872,0.001420829824810468,0.012169205128822302,0.009122635783308734,0.013027263903799761
0.021746907357497854,0.02853785935987536,0.02220270841007882,0.00016398491648728696,9.813846215919052e-5,0.00019517002585382463,0.0001772291579303345,9.123504233977626e-5,0.00012715315181677895,0.013272583905988624,0.01291943369428201,0.01617428024391562,0.02029334508542712,0.03636775659235962,0.023455122936953465,0.00011771486382983235,0.00012470279894561846,0.009746091343378135,3.42914278605723e-5,0.0002994549790876844,3.76925841616081e-5,0.013637730203613635,0.012835564857930198,0.013047316113990886,0.02161508404500508,0.02086583379604301,0.01732461069649067,0.00015182867924080424,0.0001540391177791787,0.00026745887407312783,9.868617949243392e-5,0.00043613566234687796,0.001422879777988253,0.01286823741212914,0.01132763839879728,0.01662910198091615
0.02349106320966844,0.030064577710286717,0.03009848600667982,0.00013858753773884563,9.032819373780253e-5,0.00017014564094601958,0.0002478088376584318,0.00010479540006725908,0.00012899718319256344,0.013997892447928812,0.012809605523143894,0.01600387940080964,0.0207198284080233,0.03947287218775317,0.025562892534217112,0.00011733025067404222,0.00011870506463843658,0.015586579412014008,5.647809883806389e-5,0.00029502138360571373,3.457184952407635e-5,0.010799183410271961,0.012177198534706718,0.01124380081350322,0.027212736004903773,0.024512795076191477,0.021987593017479632,0.00013279706737376868,0.0001367925174201872,0.00022143684748690673,8.780519411191532e-5,0.0004242882925482596,0.0015252376228079437,0.015326127111703653,0.012602697967802877,0.015767632099750448
0.02657493290028132,0.03511573023580388,0.03389222714906678,0.000137157215403301,9.400980069214597e-5,0.00016084655718270877,0.0003091159880668333,0.00012136218666996147,0.00016557479173377694,0.015004403459556281,0.016974076701056863,0.01749483285656191,0.02616713096975588,0.04560320701396978,0.032560337922500036,0.0001000800040356794,0.00012201183490301639,0.023273161278667392,5.1581335290322626e-5,0.00029169201742621143,1.552466277232259e-5,0.0141387534744676,0.011592317645198202,0.014004280997936033,0.031723652197123,0.02648918884412058,0.025254940222547314,0.00012983417177643737,0.0001321337562549794,0.00019085390817069324,8.859043808706075e-5,0.00039591757449466915,0.0015736762017061082,0.014500405938481932,0.013778027298360375,0.0178138488934796
0.029962668491233194,0.03828407023334122,0.03882819098150244,0.0001077951695053313,7.21313590088588e-5,0.00014247692120711303,0.0002048447592687045,0.00011956569066183489,0.0001661253589928268,0.017316563168948626,0.01895033154068838,0.01969822567997024,0.023617641783370266,0.052594781142616655,0.030268123195411344,7.927887894940219e-5,8.980258928379908e-5,0.030719591216968593,2.2098099098068e-5,0.0003408799513529438,1.8937985151491087e-5,0.017128774071625677,0.015797745892954247,0.013644430591507575,0.03270201143538041,0.02828875153217256,0.025995567954841457,9.423295258321916e-5,9.194167997689987e-5,0.00016336965240455693,5.7809243390452915e-5,0.0004186390618312281,0.0016011788051943578,0.01764222992305626,0.017052525526370883,0.017990908637186286
0.03638841105109177,0.044353239747793566,0.044487654011426986,0.00010636723416606163,5.394776170894538e-5,0.00011884999324509233,0.0001941110416298798,7.749619851852195e-5,0.00042631363779812247,0.021063717610073685,0.023224269114254386,0.022054284883588442,0.027314609480221384,0.05446483217617928,0.03200383267845372,8.219154245029517e-5,9.7947685586162e-5,0.039906957650226484,7.322754736043506e-5,0.00042551542275419293,7.039102293566178e-5,0.02061335262339272,0.016744752254612146,0.01838826786651926,0.036117823824277195,0.033314626439244835,0.0328509910187226,0.0001006724051973862,0.00010136760689929744,0.0001580169425813778,9.056647124700931e-5,0.0004212880522344582,0.0018082872903553535,0.0229703513497837,0.02056371842032504,0.019295759266835275
